nome,unidade negocios,cpf_cnpj,marcas,instagram,uf,cidade,regiao,telefone/email,pote de ouro,numero pedido,estagio funil
Mão Única Multimarcas,LBM/LM,,"Calvin Klein, Reserva, Ellus, Dress To, Levis",https://www.instagram.com/maounicamultimarcas/,GO - Goiás,Mineiros,Centro-Oeste,64999492087,Sim,,Novo/Sem Contato
Neo Closet,LBM/LM,,"Lança perfume, Calvin Klein, Levis",https://www.instagram.com/neocloset_esteio/,RS - Rio Grande do Sul,Esteio,Sul,51990043240,Sim,,Novo/Sem Contato
Jandira Boutique,LBM/LM,,"Animale, Forum, Shoulder, My Place",https://www.instagram.com/jandira_boutique/,GO - Goiás,Parauna,Centro-Oeste,6435561585,Sim,,Novo/Sem Contato
Perfil da Moda,LBM/LM,,"Farm, Lança perfume, Animale, Calvin Klein, Reserva, Myft, Open",https://www.instagram.com/perfilmultimarcas/,SC - Santa Catarina,Balneario Picarras,Sul,47984984372,Sim,,Novo/Sem Contato
Boutique Multimarcas,LBM,,"Schutz, Dimy, Sommer, Forum",https://www.instagram.com/multimarcasboutique_/,GO - Goiás,Luziania,Centro-Oeste,61991476689,Sim,,Novo/Sem Contato
Juliana Santos Boutique,LBM/LM,,Lança perfume,https://www.instagram.com/jusantosboutique/,PI - Piauí,Parnaiba,Nordeste,86994085527,Sim,,Novo/Sem Contato
Tavares Menswear,LM,,"Acostamento, Ellus",https://www.instagram.com/tavaresmenswear/,SE - Sergipe,Aquidaba,Nordeste,79998496502,Sim,,Novo/Sem Contato
Emaroje Collection,LBM/LM,,"Colcci, Acostamento, Lez a Lez, Charry",https://www.instagram.com/emarojecollection/,SE - Sergipe,Moita Bonita,Nordeste,79998423692,Sim,,Novo/Sem Contato
Mirelly Modas,LBM/LM,,"Colcci, Morena Rosa, Dimy, Lez a Lez, Ellus",https://www.instagram.com/mirellymodas_/,PE - Pernambuco,Cabrobo,Nordeste,87999220234,Sim,,Novo/Sem Contato
Veste O Homem,LM,,"Docthos, Acostamento, M. Pollo",https://www.instagram.com/veste_homem/,SE - Sergipe,Lagarto,Nordeste,79996337670,Sim,,Novo/Sem Contato
Império Moda Masculina,LBM/LM,,"Colcci, Reserva, Forum, John John, Aero",https://www.instagram.com/imperio_modam/,PE - Pernambuco,Joao Alfredo,Nordeste,81996436071,Sim,,Novo/Sem Contato
Bless,LM,,"Reserva, Ogochi, Aero, Hering, Lupo",https://www.instagram.com/bless.aracaju/,SE - Sergipe,Aracaju,Nordeste,79991483663,Sim,,Novo/Sem Contato
Império Moda Masculina,LBM/LM,,"Colcci, Reserva, Forum, John John, Aero",https://www.instagram.com/imperio_modam/,PE - Pernambuco,Joao Alfredo,Nordeste,81996436071,Sim,,Novo/Sem Contato
Veras Boutique,LBM/LM,,"Colcci, Ellus",https://www.instagram.com/veras.boutique/,AL - Alagoas,Arapiraca,Nordeste,82999270583,Sim,,Novo/Sem Contato
Zaianny Store,LBM,,"Lança perfume, Colcci, Schutz, Santa Lolla, Arezzo, Melissa",https://www.instagram.com/zaiannystore/,RN - Rio Grande do Norte,Upanema,Nordeste,84999291532,Sim,,Novo/Sem Contato
Requinte Modas,LBM,,"Farm, Open, Maria Filó",https://www.instagram.com/lojarequintemodas/,PI - Piauí,Valenca,Nordeste,89999150605,Sim,,Novo/Sem Contato
Dona Flor Boutique,LBM/LM,,"Lança perfume, Colcci, John John",https://www.instagram.com/donaflorstc/,PE - Pernambuco,Santa Cruz,Nordeste,87998110310,Sim,,Novo/Sem Contato
EDM Modas,LBM/LM,,"Lança perfume, Colcci, Ogochi, Santa Lolla",https://www.instagram.com/edmmodas/,PE - Pernambuco,Iati,Nordeste,87981590576,Sim,,Novo/Sem Contato
Empório A,LBM/LM,,"Farm, Acostamento, Aramis, Flor de Lis, Lacoste",https://www.instagram.com/emporio.a_1/,PE - Pernambuco,Aguas Bellas,Nordeste,87999420474,Sim,,Novo/Sem Contato
TF Multimarcas,LM,,"Colcci, Acostamento, Aramis, Aero, Levis",https://www.instagram.com/tfmultimarcas/,CE - Ceará,Coreau,Nordeste,88988233706,Sim,,Novo/Sem Contato
TF Multimarcas,LM,,"Colcci, Acostamento, Aramis, Aero, Levis",https://www.instagram.com/tfmultimarcas/,CE - Ceará,Coreau,Nordeste,88988233706,Sim,,Novo/Sem Contato
Evidência Salgueiro,LBM/LM,,"Acostamento, Morena Rosa, Carmen Steffens",https://www.instagram.com/evidenciasalgueiro/,PE - Pernambuco,Salgueiro,Nordeste,87996162566,Sim,,Novo/Sem Contato
Lord Griff,LM,,"Calvin Klein, Reserva, Ogochi, Aramis, Lacoste",https://www.instagram.com/lordgriffcatole/,PB - Paraíba,Catole do Rocha,Nordeste,83998693252,Sim,,Novo/Sem Contato
Taty Look,LBM/LM,,"Colcci, Forum, Sommer",https://www.instagram.com/taty_look_/,PE - Pernambuco,Jaqueira,Nordeste,81991429181,Sim,,Novo/Sem Contato
Monique Modas,LBM/LM,,"Colcci, Farm, Santa Lolla",https://www.instagram.com/moniquemodas/,RN - Rio Grande do Norte,Acu,Nordeste,84987443134,Sim,,Novo/Sem Contato
Boutique Duetto,LBM/LM,,"Acostamento, Reserva, Missbella",https://www.instagram.com/duettofloresta/,PE - Pernambuco,Floresta,Nordeste,87999098772,Sim,,Novo/Sem Contato
Serginho Multimarcas,LBM/LM,,"Colcci, My Place, Sommer, Tommy, Ogochi, Aramis, Ellus, Aero",https://www.instagram.com/serginhomultimarcas/,PE - Pernambuco,Surubim,Nordeste,81995703851,Sim,,Novo/Sem Contato
Eclosão,LBM/LM,,"Acostamento, Forum, Gatos&Atos",https://www.instagram.com/eclosao_dueto/,PI - Piauí,Piracuruca,Nordeste,86999556128,Sim,,Novo/Sem Contato
Empório Boutique,LBM/LM,,"Acostamento, John John, Oh Boy, Forum, Open, My Place",https://www.instagram.com/emporioboutiqueoficial/,RN - Rio Grande do Norte,Caico,Nordeste,84999577749,Sim,,Novo/Sem Contato
Infinity Store,LBM,,"Farm, Open",https://www.instagram.com/infinitystore.sjc/,SP - São Paulo,Sao Jose dos Campos,Sudeste,1239229833,Sim,,Novo/Sem Contato
Arthur Paz store,LBM,,"Lança Perfume, Colcci, Dimy, John John",https://www.instagram.com/arthurpaz_store/,SC - Santa Catarina,Erval Velho,Sul,49999368024,Sim,,Novo/Sem Contato
Macatalli Boutique,LBM/LM,,"Colcci, Vestem",https://www.instagram.com/macatalliboutique/,ES - Espírito Santo,Guacui,Sudeste,28988140277,Sim,,Novo/Sem Contato
Boneca de Luxo Boutique,LBM,,"Farm, Lança perfume, Morena Rosa, Schutz, Santa Lolla, Arezzo",https://www.instagram.com/boutiqueboneca_de_luxo/,MS - Mato Grosso do Sul,Amambai,Centro-Oeste,67999364504,Sim,,Novo/Sem Contato
Mj Center,LBM/LM,,"Reserva, Calvin Klein, Osklen, Farm, Aramis, Lacoste",https://www.instagram.com/mjcentermodaetendencias/,PA - Pará,Cameta,Norte,91984901661,Sim,,Novo/Sem Contato
Espaço Fit,LBM,,,https://www.instagram.com/lojaespacofit/,ES - Espírito Santo,Cachoeiro de Itapemirim,Sudeste,28999798488,Sim,,Novo/Sem Contato
Kilometro Sport Wear,LBM/LM,,"Lança perfume, Calvin Klein, Farm, Cavalera",https://www.instagram.com/lojakilometro/,PB - Paraíba,Campina Grande,Nordeste,8333371766,Sim,,Novo/Sem Contato
Styllus,LBM/LM,,"Morena Rosa, Lez a Lez, Ogochi",https://www.instagram.com/stylluscajazeirasoficial/,PB - Paraíba,Cajazeiras,Nordeste,83993022599,Sim,,Novo/Sem Contato
Herrero Multimarcas,LBM/LM,,"Lança perfume, Colcci, Calvin Klein",https://www.instagram.com/herreroalagoagrande/,PB - Paraíba,Alagoa Grande,Nordeste,83991669743,Sim,,Novo/Sem Contato
Galpao da moda,LBM/LM,,"Colcci, Acostamento, Dimy, John John, Reserva",https://www.instagram.com/galpao_da_moda/,PB - Paraíba,Patos,Nordeste,83998105484,Sim,,Novo/Sem Contato
Moça Morena,LBM,,Lança perfume,https://www.instagram.com/moca_morena/,PB - Paraíba,Cajazeiras,Nordeste,83993904116,Sim,,Novo/Sem Contato
Exuberant Cajazeiras,LBM/LM,,Colcci,https://www.instagram.com/exuberant_multibrand/,PB - Paraíba,Cajazeiras,Nordeste,83993666210,Sim,,Novo/Sem Contato
Mandalla Boutique,LBM/LM,,"Calvin Klein, John John, Oh Boy,",https://www.instagram.com/manndallaboutique/,MG - Minas Gerais,Ponte Nova,Sudeste,31988883599,Sim,,Novo/Sem Contato
Dona diva moda,LBM,,"Chanel, Prada, Adidas",https://www.instagram.com/donadiva.modaoficial/,RJ - Rio de Janeiro,Cocota,Sudeste,21997027846,Sim,,Novo/Sem Contato
Closet,LBM,,"Colcci, Dress To, Sommer, Santa Lolla, Mercatto",https://www.instagram.com/closet.confresa/,MT - Mato Grosso,Confresa,Centro-Oeste,66984404967,Sim,,Novo/Sem Contato
Schaffs e Gramarye,LBM/LM,,"Farm, Reserva, Osklen, Dress To, Cantão Ellus",https://www.instagram.com/schgramarye/,MG - Minas Gerais,Teofilo Otoni,Sudeste,33987131094,Sim,,Novo/Sem Contato
Jabuticaba Boutique,LBM,,"Colcci, Lança perfume",https://www.instagram.com/jabuticaba_boutique/,RJ - Rio de Janeiro,Varre-Sai,Sudeste,22999769269,Sim,,Novo/Sem Contato
Girassoll Boutique,LBM/LM,,"Lança perfume, Santa Lolla, Ogochi, Gatos&Atos",https://www.instagram.com/girassollboutique/,RO - Rondônia,Cerejeiras,Norte,69984629418,Sim,,Novo/Sem Contato
Josy boutique,LBM/LM,,Colcci,https://www.instagram.com/josyboutique/,AL - Alagoas,Santana do Ipanema,Nordeste,1934136031,Sim,,Novo/Sem Contato
Dropside,LM,,"Oakley, Nike",https://www.instagram.com/lojadropside/,SP - São Paulo,Sao Jose do Rio Preto,Sudeste,17991537614,Sim,,Novo/Sem Contato
Evolution Store,LM,,"Approve, The Hope, Adidas",https://www.instagram.com/evolution.campinas/,SP - São Paulo,Campinas,Sudeste,19991627532,Sim,,Novo/Sem Contato
Behove Piracicaba,LBM/LM,,"Aramis, Calvin Klein, Farm",https://www.instagram.com/behovepiracicaba/,SP - São Paulo,Piracicaba,Sudeste,19996067475,Sim,,Novo/Sem Contato
